date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:16	295/295	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202024%2007:04:16%20GMT	http://localhost/robots.txt		(from )
03:04:17	28291/28291	---MC-	200	added ('OK')	text/html	date:Sun,%2010%20Mar%202024%2007:04:17%20GMT	http://localhost/joomla5/	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/index.html	(from )
03:04:17	2537/2537	---M--	200	added ('OK')	application/rss+xml	date:Sun,%2010%20Mar%202024%2007:04:17%20GMT	http://localhost/joomla5/index.php?format=feed&type=rss	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/indexc0d0.php	(from http://localhost/joomla5/)
03:04:18	4477/4477	---M--	200	added ('OK')	application/atom+xml	date:Sun,%2010%20Mar%202024%2007:04:18%20GMT	http://localhost/joomla5/index.php?format=feed&type=atom	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/index7b17.php	(from http://localhost/joomla5/)
03:04:18	1488/1488	---M--	200	added ('OK')	image/svg+xml	etag:%225d0-612da14486fa8%22	http://localhost/joomla5/media/system/images/joomla-favicon.svg	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/images/joomla-favicon.svg	(from http://localhost/joomla5/)
03:04:18	2019/2019	---M--	200	added ('OK')	image/x-icon	etag:%227e3-612da144aef0f%22	http://localhost/joomla5/media/system/images/favicon.ico	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/images/favicon.ico	(from http://localhost/joomla5/)
03:04:18	1304/1304	---M--	200	added ('OK')	image/svg+xml	etag:%22518-612da1449cc7f%22	http://localhost/joomla5/media/system/images/joomla-favicon-pinned.svg	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/images/joomla-favicon-pinned.svg	(from http://localhost/joomla5/)
03:04:19	131104/131104	---M--	200	added ('OK')	text/css	etag:%2220020-612da1469195c%22	http://localhost/joomla5/media/system/css/joomla-fontawesome.min.css?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/css/joomla-fontawesome.min5810.css	(from http://localhost/joomla5/)
03:04:20	154/154	---M--	200	added ('OK')	text/css	etag:%229a-612da12d04677%22	http://localhost/joomla5/media/templates/site/cassiopeia/css/global/colors_standard.min.css?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/css/global/colors_standard.min5810.css	(from http://localhost/joomla5/)
03:04:20	253104/253104	---M--	200	added ('OK')	text/css	etag:%223dcb0-612da12c219b2%22	http://localhost/joomla5/media/templates/site/cassiopeia/css/template.min.css?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/css/template.min5810.css	(from http://localhost/joomla5/)
03:04:22	6058/6058	---M--	200	added ('OK')	text/css	etag:%2217aa-612da12e3dcc9%22	http://localhost/joomla5/media/templates/site/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min.css?0.2.0	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min44b7.css	(from http://localhost/joomla5/)
03:04:22	1531/1531	---M--	200	added ('OK')	text/css	etag:%225fb-6130a2a45925e%22	http://localhost/joomla5/media/mod_rscontact/css/rscontact.css?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/mod_rscontact/css/rscontact5810.css	(from http://localhost/joomla5/)
03:04:22	4192/4192	---M--	200	added ('OK')	text/javascript	etag:%221060-612da1243f564%22	http://localhost/joomla5/media/vendor/metismenujs/js/metismenujs.min.js?1.4.0	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/metismenujs/js/metismenujs.min1bf6.js	(from http://localhost/joomla5/)
03:04:23	612/612	---M--	200	added ('OK')	text/javascript	etag:%22264-612da12ae1821%22	http://localhost/joomla5/media/templates/site/cassiopeia/js/mod_menu/menu-metismenu.min.js?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/js/mod_menu/menu-metismenu.min5810.js	(from http://localhost/joomla5/)
03:04:23	7660/7660	---M--	200	added ('OK')	text/javascript	etag:%221dec-612da13ba1f52%22	http://localhost/joomla5/media/system/js/core.min.js?83f2c9	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/js/core.min87f9.js	(from http://localhost/joomla5/)
03:04:23	1087/1087	---M--	200	added ('OK')	text/javascript	etag:%2243f-612da12a9e753%22	http://localhost/joomla5/media/templates/site/cassiopeia/js/template.min.js?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/js/template.min5810.js	(from http://localhost/joomla5/)
03:04:23	4047/4047	---M--	200	added ('OK')	text/javascript	etag:%22fcf-612da10219b43%22	http://localhost/joomla5/media/vendor/bootstrap/js/collapse.min.js?5.3.2	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/bootstrap/js/collapse.mine55b.js	(from http://localhost/joomla5/)
03:04:24	27/27	---M--	200	added ('OK')	text/javascript	etag:%221b-612da162b02fc%22	http://localhost/joomla5/media/legacy/js/jquery-noconflict.min.js?504da4	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/legacy/js/jquery-noconflict.min1fec.js	(from http://localhost/joomla5/)
03:04:25	5598/5598	---M--	200	added ('OK')	text/javascript	etag:%2215de-612da13b862ed%22	http://localhost/joomla5/media/system/js/messages.min.js?7a5169	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/js/messages.min7adc.js	(from http://localhost/joomla5/)
03:04:25	8842/8842	---M--	200	added ('OK')	text/javascript	etag:%22228a-612da1413d09a%22	http://localhost/joomla5/media/system/js/fields/validate.min.js?c50f3a	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/system/js/fields/validate.min6691.js	(from http://localhost/joomla5/)
03:04:26	8228/8228	---M--	200	added ('OK')	text/javascript	etag:%222024-6130a2a45ccbc%22	http://localhost/joomla5/media/mod_rscontact/js/rscontact.js?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/mod_rscontact/js/rscontact5810.js	(from http://localhost/joomla5/)
03:04:27	3971/3971	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f83-nz2Ftm74bVJtP+Bsa4gtSS+/nLU%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	C:/My%20Web%20Sites/hammersickle/cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	(from http://localhost/joomla5/)
03:04:28	43892/43892	---M-Z	200	added ('OK')	application/javascript	etag:W/%22652dddb2-ab74%22	https://malsup.github.io/jquery.form.js	C:/My%20Web%20Sites/hammersickle/malsup.github.io/jquery.form.js	(from http://localhost/joomla5/)
03:04:28	916/916	---M--	200	added ('OK')	image/svg+xml	etag:%22394-612dd48c251a1%22	http://localhost/joomla5/media/templates/site/cassiopeia/images/logo.svg	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/images/logo.svg	(from http://localhost/joomla5/)
03:04:30	232803/232803	---M-Z	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/hammersickle/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from http://localhost/joomla5/)
03:04:32	44595/44595	---M--	200	added ('OK')	text/javascript	etag:%22ae33-6130a2a45c4ed%22	http://localhost/joomla5/media/mod_rscontact/js/jquery.validate.js?314cca	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/mod_rscontact/js/jquery.validate5810.js	(from http://localhost/joomla5/)
03:04:35	87533/87533	---M--	200	added ('OK')	text/javascript	etag:%22155ed-612da1161fc2f%22	http://localhost/joomla5/media/vendor/jquery/js/jquery.min.js?3.7.1	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/jquery/js/jquery.min8a0c.js	(from http://localhost/joomla5/)
03:04:36	24488/24488	---M--	200	added ('OK')	font/woff2	etag:%225fa8-612da1154e203%22	http://localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-regular-400.woff2?v=747442	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-regular-400d354.woff2	(from http://localhost/joomla5/media/system/css/joomla-fontawesome.min.css?314cca)
03:04:38	56268/56268	---M--	200	added ('OK')	application/pdf	etag:%22dbcc-61320b5469e75%22	http://localhost/joomla5/images/foundationDoc.pdf	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/images/foundationDoc.pdf	(from http://localhost/joomla5/)
03:04:41	69842/69842	---M--	200	added ('OK')	application/pdf	etag:%22110d2-6134745512b8b%22	http://localhost/joomla5/images/IWWD.pdf	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/images/IWWD.pdf	(from http://localhost/joomla5/)
03:04:45	63348/63348	---M--	200	added ('OK')	font/ttf	etag:%22f774-612da1155a53f%22	http://localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-regular-400.ttf?v=675809	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-regular-40081ab.ttf	(from http://localhost/joomla5/media/system/css/joomla-fontawesome.min.css?314cca)
03:04:59	109808/109808	---M--	200	added ('OK')	font/woff2	etag:%221acf0-612da11565334%22	http://localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-brands-400.woff2?v=005c9a	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-brands-4005ed7.woff2	(from http://localhost/joomla5/media/system/css/joomla-fontawesome.min.css?314cca)
03:05:00	504/504	---M--	200	added ('OK')	image/svg+xml	etag:%221f8-612da12b2d078%22	http://localhost/joomla5/media/templates/site/cassiopeia/images/select-bg.svg	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/images/select-bg.svg	(from http://localhost/joomla5/media/templates/site/cassiopeia/css/template.min.css?314cca)
03:05:00	150020/150020	---M--	200	added ('OK')	font/woff2	etag:%2224a04-612da1152696b%22	http://localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-solid-900.woff2?v=d5e647	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/fontawesome-free/webfonts/fa-solid-900efad.woff2	(from http://localhost/joomla5/media/system/css/joomla-fontawesome.min.css?314cca)
03:05:00	504/504	---M--	200	added ('OK')	image/svg+xml	etag:%221f8-612da12b2d078%22	http://localhost/joomla5/media/templates/site/cassiopeia/images/select-bg.svg?v=5ebba0	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/templates/site/cassiopeia/images/select-bgfe46.svg	(from http://localhost/joomla5/media/templates/site/cassiopeia/css/template.min.css?314cca)
03:05:01	4536/4536	---M--	200	added ('OK')	text/css	etag:%2211b8-612da11733240%22	http://localhost/joomla5/media/vendor/joomla-custom-elements/css/joomla-alert.css	C:/My%20Web%20Sites/hammersickle/localhost/joomla5/media/vendor/joomla-custom-elements/css/joomla-alert.css	(from http://localhost/joomla5/media/templates/site/cassiopeia/css/vendor/joomla-custom-elements/joomla-alert.min.css?0.2.0)
